repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,grovers_search_qft,lightning.kokkos,3,1,100,0.7812500000000007,1.6563770771026611,1.5862274169921875,45,23,28,5.868367022,1,128,0
1,grovers_search_qft,lightning.kokkos,3,2,100,0.9453125000000014,2.4917521476745605,2.4091992378234863,87,43,56,4.110785709,1,128,0
1,grovers_search_qft,lightning.kokkos,3,4,100,0.012207031250000062,4.340842008590698,4.16375470161438,171,83,112,6.016897990,1,128,0
1,grovers_search_qft,lightning.kokkos,3,8,100,0.01945686340332038,8.182359457015991,7.704389333724976,339,163,224,9.856871974,1,128,0
1,grovers_search_qft,lightning.kokkos,3,16,100,0.3578456591640166,16.277740240097046,14.75706672668457,675,323,448,18.304880001,1,128,0
1,grovers_search_qft,lightning.kokkos,3,32,100,0.9946685453314679,35.082905530929565,29.518847703933716,1347,643,896,36.227825101,1,128,0
1,grovers_search_qft,lightning.kokkos,4,1,100,0.47265625000000044,3.6142163276672363,3.5044543743133545,111,42,84,4.727695810,1,128,0
1,grovers_search_qft,lightning.kokkos,4,2,100,0.9084472656250017,5.795884847640991,5.553939580917358,218,80,168,6.896163644,1,128,0
1,grovers_search_qft,lightning.kokkos,4,4,100,0.581704139709475,10.34720492362976,9.717034816741943,432,156,336,11.427230683,1,128,0
1,grovers_search_qft,lightning.kokkos,4,8,100,0.8360891748598135,19.850072383880615,17.84513258934021,860,308,672,21.017922884,1,128,0
1,grovers_search_qft,lightning.kokkos,4,16,100,0.7830894456188748,43.13649392127991,35.713969230651855,1716,612,1344,44.282079112,1,128,0
1,grovers_search_qft,lightning.kokkos,4,32,100,0.4310753303806257,98.76737427711487,71.82331252098083,3428,1220,2688,99.922635064,1,128,0
1,grovers_search_qft,lightning.kokkos,5,1,100,0.2583007812499999,8.230076551437378,7.933374643325806,273,77,220,9.342356444,1,128,0
1,grovers_search_qft,lightning.kokkos,5,2,100,0.602424621582032,13.000696659088135,12.24323558807373,541,149,440,14.084464424,1,128,0
1,grovers_search_qft,lightning.kokkos,5,4,100,0.9991823155432954,24.088335514068604,21.71891975402832,1077,293,880,25.167455125,1,128,0
1,grovers_search_qft,lightning.kokkos,5,8,100,0.014453075769287208,50.77503991127014,42.02639102935791,2149,581,1760,51.955633444,1,128,0
1,grovers_search_qft,lightning.kokkos,5,16,100,0.16532803871793952,114.35179591178894,82.57893919944763,4293,1157,3520,115.561476773,1,128,0
1,grovers_search_qft,lightning.kokkos,5,32,100,0.7217799441312257,299.5870199203491,176.84844875335693,8581,2309,7040,300.757536015,1,128,0
1,grovers_search_qft,lightning.kokkos,6,1,100,0.13482666015625086,18.71410822868347,17.765045642852783,659,144,552,19.879575151,1,128,0
1,grovers_search_qft,lightning.kokkos,6,2,100,0.3438951969146773,31.08559560775757,28.188289403915405,1312,282,1104,32.222689873,1,128,0
1,grovers_search_qft,lightning.kokkos,6,4,100,0.8163770193969154,59.78240370750427,49.812297344207764,2618,558,2208,60.919228111,1,128,0
1,grovers_search_qft,lightning.kokkos,6,8,100,0.7180421010897706,132.3398540019989,95.53706383705139,5230,1110,4416,133.530860847,1,128,0
1,grovers_search_qft,lightning.kokkos,6,16,100,0.7028091721271573,342.06720757484436,199.52293920516968,10454,2214,8832,343.267056485,1,128,0
1,grovers_search_qft,lightning.kokkos,6,32,100,0.9169513321612769,1288.001529455185,579.2193098068237,20902,4422,17664,1289.214092820,1,128,0
1,grovers_search_qft,lightning.kokkos,7,1,100,0.06885528564453183,43.613444566726685,40.23557496070862,1557,275,1332,44.742955625,1,128,0
1,grovers_search_qft,lightning.kokkos,7,2,100,0.18337012082338575,74.95310235023499,63.472168922424316,3107,543,2664,76.085113743,1,128,0
1,grovers_search_qft,lightning.kokkos,7,4,100,0.5111355041622309,161.87197184562683,118.38830709457397,6207,1079,5328,163.052752558,1,128,0
1,grovers_search_qft,lightning.kokkos,7,8,100,0.9956198656943618,449.9547860622406,269.6345422267914,12407,2151,10656,451.207407396,1,128,0
1,grovers_search_qft,lightning.kokkos,7,16,100,0.048036397155189474,1418.8979227542877,542.607996225357,24807,4295,21312,1420.183659652,1,128,0
1,grovers_search_qft,lightning.kokkos,7,32,100,0.2559439650138946,6436.777793169022,1690.8936653137207,49607,8583,42624,6438.486837647,1,128,0
1,grovers_search_qft,lightning.kokkos,8,1,100,0.0347909927368167,106.37851667404175,91.95964479446411,3607,534,3140,110.242489835,1,128,0
1,grovers_search_qft,lightning.kokkos,8,2,100,0.09463772200979531,214.6190333366394,161.85179901123047,7206,1060,6280,216.242763189,1,128,0
1,grovers_search_qft,lightning.kokkos,8,4,100,0.28474280203266805,477.5738387107849,287.80419874191284,14404,2112,12560,479.232716786,1,128,0
1,grovers_search_qft,lightning.kokkos,8,8,100,0.7637221440186756,1814.5798642635345,728.4557139873505,28800,4216,25120,1816.400138494,1,128,0
1,grovers_search_qft,lightning.kokkos,8,16,100,0.7759740806663245,7636.39228105545,1983.5168488025665,57592,8424,50240,7638.378597920,1,128,0
